spent,date,shown,link
Spent ₹0 – ₹250,From 23 Apr - 4 May 2024 (12 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17088107620037820417?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 27 Apr - 18 May 2024 (22 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17087519931072774145?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹60K – ₹70K,From 27 Apr - 30 May 2024 (33 days),Shown 500K – 600K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17048113434333282305?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 27 Apr - 4 May 2024 (8 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR17025595436196429825?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 5 May 2024 (18 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16932160587335467009?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 30 May 2024 (33 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16891909665665843201?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 21 Apr - 17 May 2024 (20 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16830711947975458817?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 13 Apr - 10 May 2024 (22 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16799110884281548801?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 27 Apr - 18 May 2024 (22 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16797037755107377153?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 27 Apr - 18 May 2024 (22 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16791830468038230017?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
